base,forms,chain,cost,role,rarity,types,traits,hp,atk,def,speed,skill,ability_damage,sprites_have,sprites_need
"unownr","1","unownr","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_R","","0","1"
"unowns","1","unowns","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_S","","0","1"
"unownt","1","unownt","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_T","","0","1"
"unownu","1","unownu","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_U","","0","1"
"unownv","1","unownv","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_V","","0","1"
"unownw","1","unownw","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_W","","0","1"
"unownx","1","unownx","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_X","","0","1"
"unowny","1","unowny","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_Y","","0","1"
"unownz","1","unownz","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_Z","","0","1"
"ursalunabloodmoon","1","ursalunabloodmoon","6","tank","ultra","GROUND","wincon","380","38","28","41","BLOOD_MOON","2/2/2/4 special","0","1"
"urshifurapid","1","urshifurapid","7","tank","legendary","FIGHTING/WATER","wincon","250","25","12","50","SURGING_STRIKES","1/1/1/2 special","0","1"
"urshifusingle","1","urshifusingle","7","tank","legendary","FIGHTING/DARK","wincon true","250","25","12","50","WICKED_BLOW","30/45/60/120 true","0","1"
"uxie","1","uxie","6","sniper","unique","PSYCHIC/FAIRY","","200","14","10","55","KNOWLEDGE_THIEF","","0","1"
"vanillite","3","vanillite>vanillish>vanilluxe","2","sniper","rare","ICE","","70","6","4","50","ICICLE_MISSILE","","0","3"
"vaporeon","1","vaporeon","5","tank","special","WATER","wincon","150","12","6","43","HAPPY_HOUR","","1","0"
"varoom","2","varoom>revavroom","2","fighter","uncommon","STEEL/POISON","","70","6","3","40","SPIN_OUT","","0","2"
"veluza","1","veluza","6","bruiser","unique","WATER/PSYCHIC","","180","20","5","45","FILLET_AWAY","","0","1"
"venipede","3","venipede>whirlipede>scolipede","5","runner","ultra","BUG/POISON","wincon jumps","90","12","6","72","STEAMROLLER","","0","3"
"venonat","2","venonat>venomoth","2","fighter","uncommon","BUG/FLYING/POISON","air","50","6","4","54","BUG_BUZZ","20/40/80/160 special","0","2"
"vespiquen","1","vespiquen","6","sniper","unique","BUG/GRASS","","190","16","8","38","VESPIQUEN_ORDERS","","0","1"
"victini","1","victini","7","tank","legendary","FIRE/PSYCHIC","wincon","300","27","10","57","SEARING_SHOT","30/40/50/100 special","0","1"
"virizion","1","virizion","7","runner","legendary","GRASS/FIGHTING","wincon jumps","300","26","8","60","SACRED_SWORD_GRASS","","0","1"
"vivillon","1","vivillon","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonarchipelago","1","vivillonarchipelago","5","skirmisher","hatch","BUG/FIGHTING","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivilloncontinental","1","vivilloncontinental","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonelegant","1","vivillonelegant","5","skirmisher","hatch","BUG/PSYCHIC","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonfancy","1","vivillonfancy","5","skirmisher","hatch","BUG/FAIRY","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillongarden","1","vivillongarden","5","skirmisher","hatch","BUG/GRASS","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonhighplains","1","vivillonhighplains","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonicysnow","1","vivillonicysnow","5","skirmisher","hatch","BUG/NORMAL","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonjungle","1","vivillonjungle","5","skirmisher","hatch","BUG/POISON","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonmarine","1","vivillonmarine","5","skirmisher","hatch","BUG/WATER","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonmodern","1","vivillonmodern","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonmonsoon","1","vivillonmonsoon","5","skirmisher","hatch","BUG/STEEL","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonocean","1","vivillonocean","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonpokeball","1","vivillonpokeball","5","skirmisher","hatch","BUG","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonpolar","1","vivillonpolar","5","skirmisher","hatch","BUG/GHOST","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonriver","1","vivillonriver","5","skirmisher","hatch","BUG/WATER","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonsandstorm","1","vivillonsandstorm","5","skirmisher","hatch","BUG/ROCK","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonsavanna","1","vivillonsavanna","5","skirmisher","hatch","BUG/ELECTRIC","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillonsun","1","vivillonsun","5","skirmisher","hatch","BUG/FIRE","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"vivillontundra","1","vivillontundra","5","skirmisher","hatch","BUG/ICE","","180","19","7","52","POWDER","10/20/30/50 special","0","1"
"volbeat","1","volbeat","5","bruiser","unique","BUG/FLYING","air","130","12","4","52","TAIL_GLOW","10/20/30/60 special","0","1"
"volcanion","1","volcanion","7","skirmisher","legendary","FIRE/WATER","","300","20","8","47","STEAM_ERUPTION","20/40/80/160 special","0","1"
"voltorb","2","voltorb>electrode","3","runner","uncommon","ELECTRIC","wincon jumps","60","7","2","73","EXPLOSION","50/100/200/400 special","2","0"
"vullaby","2","vullaby>mandibuzz","5","tank","rare","DARK/FLYING","wincon air","90","10","8","51","BONE_ARMOR","20/40/80/160 special","0","2"
"vulpix","2","vulpix>ninetales","2","skirmisher","rare","FIRE/PSYCHIC","","75","6","4","57","FIRE_SPIN","25/50/100/200 special","0","2"
"wailmer","2","wailmer>wailord","4","fighter","epic","WATER","","180","6","4","44","DIVE","10/20/40/80 special","0","2"
"walkingwake","1","walkingwake","7","runner","legendary","DRAGON/WATER","wincon jumps","300","25","8","70","HYDRO_STEAM","30/60/100/200 special","0","1"
"wattrel","2","wattrel>kilowattrel","4","skirmisher","epic","FLYING/ELECTRIC","air","90","7","6","65","SPARK","30/60/90/180 special","0","2"
"weedle","3","weedle>kakuna>beedrill","2","fighter","common","BUG/POISON","","60","5","4","49","BUG_BUZZ","20/40/80/160 special","0","3"
"weezing","1","weezing","5","tank","uncommon","POISON","wincon","155","10","12","44","SMOG","10/20/40/80 special","1","0"
"whismur","3","whismur>loudred>exploud","2","skirmisher","rare","NORMAL","","90","6","2","47","UPROAR","5/10/20/40 special","0","3"
"wiglett","2","wiglett>wugtrio","2","fighter","uncommon","GROUND/WATER","","80","5","6","55","TRIPLE_DIVE","15/30/60/120 special","0","2"
"wimpod","2","wimpod>golisopod","4","tank","epic","BUG/WATER","wincon","90","8","7","38","FIRST_IMPRESSION","45/90/180/360 special","0","2"
"wingull","2","wingull>pelipper","5","skirmisher","epic","WATER/FLYING","air","90","10","10","46","WHIRLWIND","40/80/120/240 special","0","2"
"wishiwashi","4","wishiwashi>wishiwashischool>wishiwashischool>wishiwashischool","3","bruiser","special","WATER","","50","11","4","38","AQUA_JET","20/40/80/160 special","0","4"
"woobat","2","woobat>swoobat","2","sniper","uncommon","FLYING/PSYCHIC","air","60","4","2","62","ATTRACT","","0","2"
"wooloo","2","wooloo>dubwool","2","fighter","uncommon","NORMAL","","60","5","4","56","HEADBUTT","20/40/80/160 special","0","2"
"wooper","2","wooper>quagsire","3","fighter","rare","WATER/GROUND","","80","8","10","31","MUD_SHOT","25/50/100/200 special","0","2"
"wormadamplant","1","wormadamplant","5","skirmisher","rare","BUG/GRASS","","150","13","3","46","QUIVER_DANCE","","0","1"
"wormadamsandy","1","wormadamsandy","5","skirmisher","rare","BUG/GROUND/GRASS","","150","13","9","46","QUIVER_DANCE","","0","1"
"wormadamtrash","1","wormadamtrash","5","skirmisher","rare","BUG/GROUND/GRASS","","150","13","6","46","QUIVER_DANCE","","0","1"
"wurmple","1","wurmple","5","tank","epic","BUG","wincon","110","12","6","31","ENTANGLING_THREAD","10/20/40/80 special","0","1"
"wynaut","2","wynaut>wobbuffet","3","fighter","rare","PSYCHIC","","110","8","4","36","COUNTER","","0","2"
"wyrdeer","1","wyrdeer","7","tank","unique","PSYCHIC","wincon","250","21","8","42","PSYSHIELD_BASH","","0","1"
"xerneas","1","xerneas","6","sniper","legendary","FAIRY/GRASS","","200","22","6","57","GEOMANCY","","0","1"
"xurkitree","1","xurkitree","6","skirmisher","legendary","ELECTRIC","","200","15","6","52","CHARGE_BEAM","15/30/60/120 special","0","1"
"yamask","2","yamask>cofagrigus","3","fighter","rare","GHOST","","70","6","8","45","SPITE","","0","2"
"yamper","2","yamper>boltund","3","runner","uncommon","ELECTRIC","wincon jumps","60","6","3","77","ELECTRIFY","","2","0"
"yanma","2","yanma>yanmega","3","skirmisher","rare","BUG/FLYING","air true","70","8","2","55","AERIAL_ACE","25/50/100/200 true","0","2"
"yveltal","1","yveltal","7","tank","legendary","DARK/FLYING","wincon air","300","22","12","57","OBLIVION_WING","90/120/150/300 special","0","1"
"zacian","2","zacian>zaciancrowned","7","runner","legendary","FAIRY","wincon jumps","260","22","11","69","BEHEMOTH_BLADE","","0","2"
"zangoose","1","zangoose","6","bruiser","unique","NORMAL","","250","18","4","54","FACADE","20/40/80/160 special","0","1"
"zapdos","1","zapdos","7","skirmisher","legendary","ELECTRIC/FLYING","air","300","27","6","57","THUNDER","25/50/100/200 special","1","0"
"zekrom","1","zekrom","7","sniper","legendary","DRAGON/ELECTRIC","","200","28","6","54","FUSION_BOLT","","0","1"
"zeraora","1","zeraora","6","runner","unique","ELECTRIC","wincon jumps","200","16","10","71","PLASMA_FIST","60/90/120/240 special","0","1"
"zigzagoon","2","zigzagoon>linoone","3","fighter","rare","","","80","7","8","57","SLASH","10/20/40/80 special","0","2"
"zorua","2","zorua>zoroark","3","runner","uncommon","DARK","wincon jumps","70","7","4","59","NIGHT_DAZE","25/50/100/200 special","0","2"
"zubat","3","zubat>golbat>crobat","1","skirmisher","common","POISON/FLYING","air","50","4","2","67","LEECH_LIFE","20/40/80/160 special","3","0"
"zygarde10","1","zygarde10","7","runner","legendary","DRAGON/GROUND","wincon jumps","250","26","8","62","LANDS_WRATH","","0","1"
"zygarde100","1","zygarde100","7","skirmisher","legendary","DRAGON/GROUND","","350","28","10","50","CORE_ENFORCER","40/60/80/160 special","0","1"
"zygarde50","1","zygarde50","7","sniper","legendary","DRAGON/GROUND","","220","23","5","55","THOUSAND_ARROWS","40/50/60/100 special","0","1"
